ban	ban	ban	ban	ban	gha	gha	gha	gha	gha	kra	kra	kra	kra	kra	las	las	las	las	las	mar	mar	mar	mar	mar
du	fur	mux	su	ur	du	fur	mux	su	ur	du	fur	mux	su	ur	du	fur	mux	su	ur	du	fur	mux	su	ur
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
0.163265306122449	0.163265306122449	0.14285714285714285	0.30612244897959184	0.22448979591836732	0.21621621621621623	0.21621621621621623	8.108108108108109e-2	0.29729729729729726	0.18918918918918917	0.12121212121212122	0.12121212121212122	0.2121212121212121	0.3333333333333333	0.2121212121212121	0.0	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.2857142857142857
0.16550626267121077	0.16550626267121077	0.12248369491663233	0.3221242510611756	0.22437952867977062	0.2684568182138254	0.2684568182138254	3.344972171708319e-2	0.28116641722640096	0.1484702246288652	9.035275224736206e-2	9.035275224736206e-2	0.26192225654369466	0.3652286701644352	0.19214356879714603	0.0	0.0	0.4152902076523862	0.2515744438418519	0.33313534850576193	0.12057938761764096	0.12057938761764096	0.12651423342081242	0.2778283242753337	0.35449866706857186
0.16331787777824538	0.16331787777824538	0.10285074823292494	0.3446417002499859	0.2258717959605985	0.3072851224557892	0.3072851224557892	1.2385168773254612e-2	0.2590800757331284	0.11396451058203831	6.406924703788525e-2	6.406924703788525e-2	0.3074822953448821	0.39218547754329713	0.1721937330360501	0.0	0.0	0.4634363085613452	0.19170468396037618	0.34485900747827863	9.738305770385432e-2	9.738305770385432e-2	0.11089998101985064	0.27013481033178965	0.42419909324065097
0.16000031219749491	0.16000031219749491	8.455732669802636e-2	0.3704351549471526	0.22500689395983128	0.3378567201025614	0.3378567201025614	4.2322163831813525e-3	0.23461267467376795	8.54416687379277e-2	4.4374147490940374e-2	4.4374147490940374e-2	0.34694487843703486	0.4123432060894341	0.15196362049165033	0.0	0.0	0.48118397189566353	0.14852129381488485	0.37029473428945164	7.778593913882877e-2	7.778593913882877e-2	9.652835736645914e-2	0.26195674475881053	0.48594301959707287
0.15590205577674598	0.15590205577674598	6.865778620304601e-2	0.39821247550623334	0.22132562673722878	0.362608298235275	0.362608298235275	1.3832068648422441e-3	0.21050055249783023	6.289964416677736e-2	3.0182780176446242e-2	3.0182780176446242e-2	0.38188882196873897	0.42548744126383986	0.1322581764145288	0.0	0.0	0.4784427794979735	0.11613747128091727	0.4054197492211091	6.2006478801759864e-2	6.2006478801759864e-2	8.388513965032894e-2	0.2536996911963744	0.538402211549777
0.15114609086033073	0.15114609086033073	5.531398833616609e-2	0.427318589911224	0.2150752400319486	0.38303411027488654	0.38303411027488654	4.4299576966678897e-4	0.1879023479953488	4.5586435685211334e-2	2.0220257996291815e-2	2.0220257996291815e-2	0.413546533276632	0.43235926131621677	0.11365368941456759	0.0	0.0	0.4639233408991152	9.107937660326552e-2	0.4449972824976193	4.948862351879258e-2	4.948862351879258e-2	7.27236896161528e-2	0.2453978816137641	0.5829011817324978
0.14586535272574314	0.14586535272574314	4.428888448487458e-2	0.4572534204673611	0.20672698959627805	0.40008287630644407	0.40008287630644407	1.4097634250006166e-4	0.1671199414387089	3.2573329605902854e-2	1.3375807606378909e-2	1.3375807606378909e-2	0.44255214597378895	0.4341011989452479	9.659503986820549e-2	0.0	0.0	0.4437595375481241	7.140273593123514e-2	0.4848377265206409	3.959382251095376e-2	3.959382251095376e-2	6.270446463067544e-2	0.23684952451451471	0.6212583658329023
0.14021400322537456	0.14021400322537456	3.5246342027128036e-2	0.4875215318444457	0.19680411967767714	0.414430483262729	0.414430483262729	4.488340018968259e-5	0.14811725091071218	2.2976899163640062e-2	8.760181281074733e-3	8.760181281074733e-3	0.4691742836911129	0.43192150749797015	8.138384624876752e-2	0.0	0.0	0.42166364489082536	5.588961633428183e-2	0.5224467387748928	3.177363676795738e-2	3.177363676795738e-2	5.3615751381340754e-2	0.22787404583950552	0.6549629292432391
